"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2022","0.4047","0.4218","0.4287","0.4004","33.09M","-4.04%"
"05/22/2022","0.4218","0.4144","0.4250","0.4101","28.70M","1.77%"
"05/21/2022","0.4144","0.4103","0.4183","0.4033","21.03M","1.01%"
"05/20/2022","0.4103","0.4204","0.4394","0.4018","40.51M","-2.37%"
"05/19/2022","0.4202","0.4055","0.4243","0.3917","35.91M","3.63%"
"05/18/2022","0.4055","0.4378","0.4424","0.4041","64.45M","-7.37%"
"05/17/2022","0.4378","0.4231","0.4401","0.4176","63.76M","3.59%"
"05/16/2022","0.4226","0.4480","0.4480","0.4089","71.20M","-5.65%"
"05/15/2022","0.4480","0.4262","0.4499","0.4149","41.37M","5.09%"
"05/14/2022","0.4263","0.4227","0.4407","0.3963","69.57M","0.84%"
"05/13/2022","0.4227","0.3858","0.4641","0.3815","107.32M","9.60%"
"05/12/2022","0.3857","0.4175","0.4290","0.3365","255.89M","-7.52%"
"05/11/2022","0.4171","0.5131","0.5224","0.3656","323.55M","-18.75%"
"05/10/2022","0.5133","0.4867","0.5366","0.4727","166.98M","5.30%"
"05/09/2022","0.4875","0.5663","0.5786","0.4733","127.28M","-13.90%"
"05/08/2022","0.5661","0.5808","0.5833","0.5589","51.63M","-2.53%"
"05/07/2022","0.5808","0.6021","0.6044","0.5694","40.69M","-3.52%"
"05/06/2022","0.6021","0.5980","0.6165","0.5878","61.25M","0.67%"
"05/05/2022","0.5980","0.6459","0.6571","0.5892","66.65M","-7.42%"
"05/04/2022","0.6459","0.6048","0.6499","0.6041","53.68M","6.80%"
"05/03/2022","0.6048","0.6144","0.6278","0.5962","26.55M","-1.55%"
"05/02/2022","0.6143","0.6070","0.6306","0.5985","32.33M","1.21%"
"05/01/2022","0.6070","0.5845","0.6125","0.5766","33.37M","3.83%"
"04/30/2022","0.5846","0.6115","0.6285","0.5658","38.06M","-4.41%"
"04/29/2022","0.6115","0.6428","0.6463","0.6003","61.26M","-4.86%"
"04/28/2022","0.6428","0.6521","0.6572","0.6337","45.29M","-1.43%"
"04/27/2022","0.6521","0.6421","0.6623","0.6360","44.54M","1.52%"
"04/26/2022","0.6423","0.6932","0.7061","0.6278","52.50M","-7.34%"
"04/25/2022","0.6932","0.6982","0.6997","0.6461","59.34M","-0.74%"
"04/24/2022","0.6984","0.7056","0.7118","0.6949","23.19M","-0.99%"
"04/23/2022","0.7054","0.7178","0.7264","0.7031","17.92M","-1.72%"
"04/22/2022","0.7178","0.7327","0.7386","0.7145","29.37M","-2.03%"
"04/21/2022","0.7327","0.7517","0.7682","0.7201","31.58M","-2.51%"
"04/20/2022","0.7515","0.7749","0.7751","0.7423","26.13M","-3.02%"
"04/19/2022","0.7749","0.7698","0.7817","0.7588","23.77M","0.66%"
"04/18/2022","0.7699","0.7513","0.7699","0.7279","36.61M","2.37%"
"04/17/2022","0.7520","0.7805","0.7859","0.7483","23.34M","-3.65%"
"04/16/2022","0.7805","0.7857","0.7988","0.7661","22.99M","-0.67%"
"04/15/2022","0.7857","0.7261","0.7961","0.7259","53.01M","8.19%"
"04/14/2022","0.7262","0.7232","0.7410","0.7084","31.12M","0.50%"
"04/13/2022","0.7226","0.7151","0.7250","0.7020","33.31M","1.04%"
"04/12/2022","0.7151","0.6948","0.7253","0.6923","37.44M","2.93%"
"04/11/2022","0.6948","0.7540","0.7554","0.6814","48.71M","-7.84%"
"04/10/2022","0.7539","0.7625","0.7730","0.7523","12.23M","-1.10%"
"04/09/2022","0.7623","0.7552","0.7661","0.7535","15.49M","0.93%"
"04/08/2022","0.7552","0.7869","0.7933","0.7471","29.16M","-4.10%"
"04/07/2022","0.7875","0.7591","0.7908","0.7523","26.11M","3.70%"
"04/06/2022","0.7594","0.8165","0.8183","0.7572","50.73M","-6.99%"
"04/05/2022","0.8165","0.8261","0.8362","0.8146","20.22M","-1.19%"
"04/04/2022","0.8263","0.8428","0.8431","0.8046","31.89M","-1.96%"
"04/03/2022","0.8428","0.8241","0.8521","0.8146","15.70M","2.28%"
"04/02/2022","0.8240","0.8273","0.8499","0.8196","23.32M","-0.40%"
"04/01/2022","0.8273","0.8149","0.8338","0.8072","30.04M","1.45%"
"03/31/2022","0.8155","0.8613","0.8731","0.7822","51.21M","-5.33%"
"03/30/2022","0.8614","0.8575","0.8715","0.8462","23.36M","0.42%"
"03/29/2022","0.8578","0.8639","0.8852","0.8436","35.66M","-0.63%"
"03/28/2022","0.8632","0.8577","0.9114","0.8531","44.86M","0.65%"
"03/27/2022","0.8577","0.8325","0.8579","0.8280","19.52M","3.01%"
"03/26/2022","0.8326","0.8240","0.8348","0.8206","11.88M","1.04%"
"03/25/2022","0.8240","0.8427","0.8458","0.8202","21.62M","-2.23%"
"03/24/2022","0.8428","0.8375","0.8498","0.8274","25.79M","0.61%"
"03/23/2022","0.8376","0.8367","0.8456","0.8184","25.71M","0.11%"
"03/22/2022","0.8367","0.8374","0.8649","0.8278","32.04M","-0.08%"
"03/21/2022","0.8374","0.8056","0.8543","0.7889","36.49M","3.92%"
"03/20/2022","0.8057","0.8195","0.8218","0.7956","17.21M","-1.67%"
"03/19/2022","0.8195","0.7967","0.8265","0.7917","27.01M","2.85%"
"03/18/2022","0.7967","0.7935","0.8005","0.7765","28.65M","0.45%"
"03/17/2022","0.7932","0.7920","0.8017","0.7831","30.53M","0.15%"
"03/16/2022","0.7920","0.7658","0.7944","0.7580","43.08M","3.41%"
"03/15/2022","0.7659","0.7750","0.7762","0.7415","29.84M","-1.13%"
"03/14/2022","0.7746","0.7602","0.7775","0.7447","36.24M","1.91%"
"03/13/2022","0.7601","0.7855","0.8047","0.7527","40.88M","-3.29%"
"03/12/2022","0.7859","0.8026","0.8486","0.7788","73.54M","-2.11%"
"03/11/2022","0.8028","0.7362","0.8135","0.7254","70.12M","9.06%"
"03/10/2022","0.7361","0.7658","0.7779","0.7225","50.34M","-3.88%"
"03/09/2022","0.7659","0.7209","0.7746","0.7202","37.57M","6.24%"
"03/08/2022","0.7208","0.7198","0.7308","0.7139","32.27M","0.09%"
"03/07/2022","0.7202","0.7253","0.7539","0.7039","61.36M","-0.69%"
"03/06/2022","0.7252","0.7540","0.7587","0.7217","35.14M","-3.83%"
"03/05/2022","0.7541","0.7129","0.7686","0.7053","39.24M","5.76%"
"03/04/2022","0.7130","0.7520","0.7539","0.6959","48.40M","-5.18%"
"03/03/2022","0.7519","0.7688","0.7891","0.7349","46.37M","-2.20%"
"03/02/2022","0.7689","0.7838","0.7846","0.7568","47.96M","-1.89%"
"03/01/2022","0.7837","0.7812","0.8033","0.7579","58.74M","0.31%"
"02/28/2022","0.7812","0.7211","0.7938","0.7084","63.64M","8.34%"
"02/27/2022","0.7211","0.7556","0.7668","0.7039","65.84M","2.56%"
"02/25/2022","0.7031","0.6964","0.7048","0.6883","146.32M","0.99%"
"02/24/2022","0.6962","0.6965","0.7230","0.6224","146.08M","0.01%"
"02/23/2022","0.6961","0.7211","0.7439","0.6930","72.39M","-3.45%"
"02/22/2022","0.7210","0.7018","0.7264","0.6746","90.83M","2.76%"
"02/21/2022","0.7016","0.7765","0.8015","0.6966","92.12M","-9.66%"
"02/20/2022","0.7767","0.8214","0.8231","0.7666","76.93M","-5.43%"
"02/19/2022","0.8213","0.7840","0.8532","0.7706","69.83M","4.72%"
"02/18/2022","0.7843","0.7688","0.8049","0.7564","64.44M","2.31%"
"02/17/2022","0.7666","0.8369","0.8446","0.7547","72.75M","-8.46%"
"02/16/2022","0.8374","0.8515","0.8522","0.8095","52.68M","-1.63%"
"02/15/2022","0.8512","0.8010","0.8592","0.7963","42.86M","6.31%"
"02/14/2022","0.8008","0.8055","0.8117","0.7800","55.03M","-0.61%"
"02/13/2022","0.8056","0.8225","0.8468","0.7922","56.13M","-2.02%"
"02/12/2022","0.8222","0.7591","0.8517","0.7469","76.35M","8.25%"
"02/11/2022","0.7596","0.8252","0.8333","0.7506","71.71M","-7.94%"
"02/10/2022","0.8251","0.8704","0.8975","0.8218","90.79M","-5.19%"
"02/09/2022","0.8703","0.8760","0.9152","0.8442","89.46M","-0.64%"
"02/08/2022","0.8760","0.8316","0.9132","0.8039","155.55M","5.38%"
"02/07/2022","0.8313","0.6827","0.8383","0.6719","79.24M","21.76%"
"02/06/2022","0.6827","0.6658","0.6870","0.6596","19.44M","2.56%"
"02/05/2022","0.6657","0.6559","0.6866","0.6505","37.31M","1.49%"
"02/04/2022","0.6559","0.6097","0.6585","0.6045","31.03M","7.67%"
"02/03/2022","0.6092","0.6008","0.6107","0.5889","26.18M","1.38%"
"02/02/2022","0.6009","0.6284","0.6313","0.5956","24.83M","-4.35%"
"02/01/2022","0.6282","0.6174","0.6305","0.6113","23.35M","1.74%"
"01/31/2022","0.6175","0.6014","0.6239","0.5805","35.58M","2.60%"
"01/30/2022","0.6019","0.6176","0.6232","0.5976","26.40M","-2.48%"
"01/29/2022","0.6172","0.6113","0.6251","0.6089","24.51M","0.94%"
"01/28/2022","0.6115","0.6086","0.6137","0.5917","39.04M","0.41%"
"01/27/2022","0.6090","0.6188","0.6241","0.5895","52.94M","-1.60%"
"01/26/2022","0.6188","0.6172","0.6581","0.6050","69.26M","0.26%"
"01/25/2022","0.6173","0.6120","0.6235","0.5874","45.05M","0.87%"
"01/24/2022","0.6119","0.6287","0.6287","0.5547","96.27M","-2.70%"
"01/23/2022","0.6289","0.5970","0.6353","0.5901","59.44M","5.39%"
"01/22/2022","0.5968","0.6365","0.6528","0.5500","128.99M","-6.27%"
"01/21/2022","0.6367","0.7191","0.7286","0.6126","97.62M","-11.58%"
"01/20/2022","0.7201","0.7381","0.7620","0.7165","29.15M","-2.37%"
"01/19/2022","0.7376","0.7507","0.7533","0.7238","30.57M","-1.80%"
"01/18/2022","0.7511","0.7617","0.7686","0.7362","26.98M","-1.40%"
"01/17/2022","0.7618","0.7785","0.7804","0.7503","27.79M","-2.14%"
"01/16/2022","0.7785","0.7791","0.7843","0.7685","20.37M","-0.09%"
